"Accepted Symbol","Synonym Symbol","Scientific Name","State and Province","Category","Growth Habit","Image Gallery","Characteristics Data","Flower Color","Foliage Color","Foliage Texture","Fruit Color","Shape and Orientation"
"LEGI","","Lemna gibba","USA (AZ, CA, CO, IL, IN, MS, MT, NE, NM, NV, OK, OR, TX, UT, WY)","Monocot","Forb/herb","Photo","","","","","",""
"LEMI3","","Lemna minor","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, ON, QC, SK)","Monocot","Forb/herb","Photo","Yes","Green","Green","Fine","","Decumbent"
"LEMI6","","Lemna minuta","USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, KY, LA, MA, MO, NE, NM, NV, OH, OK, OR, TN, TX, UT, WA, WV, WY), USA+ (PR, VI)","Monocot","Forb/herb","","","","","","",""
"LEOB2","","Lemna obscura","USA (AL, AR, AZ, DC, FL, GA, HI, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, WI, WV)","Monocot","Forb/herb","Photo","","","","","",""
"LEPE","","Lemna perpusilla","USA (AL, AR, AZ, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MN, MO, MS, NC, ND, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), USA+ (PR, VI), CAN (QC)","Monocot","Forb/herb","Photo","","","","","",""
"LETR","","Lemna trisulca","USA (AK, AL, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WY), CAN (AB, BC, MB, NB, NS, NT, NU, ON, PE, QC, SK, YT)","Monocot","Forb/herb","Photo","Yes","Green","Green","Fine","Green","Decumbent"
"LETU2","","Lemna turionifera","USA (AK, AL, AZ, CA, CO, CT, IA, ID, IL, IN, KS, KY, MA, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VT, WA, WI, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Forb/herb","","","","","","",""
"LEVA","","Lemna valdiviana","USA (AL, AR, AZ, CA, CO, CT, DC, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WV, WY), USA+ (PR)","Monocot","Forb/herb","Photo","Yes","Green","Green","Fine","Green","Decumbent"
"LENOP","","Lenophyllum","USA (TX)","Dicot","","","","","","","",""
"LETE4","","Lenophyllum texanum","USA (TX)","Dicot","Forb/herb","","","","","","",""
"LENS","","Lens","USA (CA, CT, ID, IN, LA, MA, MD, ME, NJ, NY, PA, WA), CAN (ON, QC)","Dicot","","","","","","","",""
"LECU2","","Lens culinaris","USA (CA, CT, ID, IN, LA, MA, MD, ME, NJ, NY, PA, WA), CAN (ON, QC)","Dicot","Forb/herb","","","","","","",""
"LEONO","","Leonotis","USA (AL, AR, CA, FL, GA, HI, LA, MS, NC, SC, TN, TX), USA+ (PR, VI)","Dicot","","Photo","","","","","",""
"LELE3","","Leonotis leonurus","USA (CA, HI)","Dicot","Shrub","Photo","","","","","",""
"LENE","","Leonotis nepetifolia","USA (AL, AR, FL, GA, HI, LA, MS, NC, SC, TN, TX), USA+ (PR, VI)","Dicot","Forb/herb","Photo","","","","","",""
"LEONT","","Leontodon","USA (AK, AL, AZ, CA, CT, DC, DE, HI, IA, ID, IL, IN, KS, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, TX, VA, VT, WA, WI, WV), CAN (BC, LB, NB, NF, NS, NT, ON, PE, QC), DEN (GL), FRA (SPM)","Dicot","","","","","","","",""
"LEAU2","","Leontodon autumnalis","USA (AK, CA, CT, DC, DE, HI, IA, ID, IL, MA, MD, ME, MI, MN, MT, NH, NJ, NY, OH, OR, PA, RI, VA, VT, WA, WI, WV), CAN (BC, LB, NB, NF, NS, NT, ON, PE, QC), DEN (GL), FRA (SPM)","Dicot","Forb/herb","","","","","","",""
"LEAUA","","Leontodon autumnalis ssp. autumnalis","USA (AK, CA, CT, DC, DE, HI, IA, ID, IL, MA, MD, ME, MI, MN, MT, NH, NJ, NY, OH, OR, PA, RI, VA, VT, WA, WI, WV), CAN (BC, LB, NB, NF, NS, NT, ON, PE, QC), FRA (SPM)","Dicot","Forb/herb","","","","","","",""
"LEAUP2","","Leontodon autumnalis ssp. pratensis","USA (CT, DE, MA, MD, ME, MN, NH, NY, OH, PA), CAN (LB, NB, NF, NS, PE, QC), DEN (GL), FRA (SPM)","Dicot","Forb/herb","","","","","","",""
"LEHI","","Leontodon hispidus","USA (AL, CT, KS, MD, NY, OH, PA, RI, TX), CAN (ON)","Dicot","Forb/herb","","","","","","",""
"LEHID","","Leontodon hispidus ssp. danubialis","USA (CT, NY, OH, RI)","Dicot","Forb/herb","","","","","","",""
"LEHIH","","Leontodon hispidus ssp. hispidus","USA (AL, KS, MD, NY, PA, RI, TX), CAN (ON)","Dicot","Forb/herb","","","","","","",""
"LEMU13","","Leontodon muelleri","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LETA","","Leontodon taraxacoides","USA (AL, AZ, CA, CT, DC, IL, IN, MA, MD, MI, NC, NJ, NM, NV, NY, OH, OR, PA, RI, TN, TX, VA, VT, WA, WI), CAN (BC, ON)","Dicot","Forb/herb","","","","","","",""
"LETAL","","Leontodon taraxacoides ssp. longirostris","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LETAT","","Leontodon taraxacoides ssp. taraxacoides","USA (AL, AZ, CA, CT, DC, IL, IN, MA, MD, MI, NC, NJ, NM, NV, NY, OH, OR, PA, RI, TN, TX, VA, VT, WA, WI), CAN (BC, ON)","Dicot","Forb/herb","","","","","","",""
"LEONU","","Leonurus","USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","","","","","","","",""
"LECA2","","Leonurus cardiaca","USA (AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","Forb/herb","Photo","","","","","",""
"LECAC7","","Leonurus cardiaca ssp. cardiaca","USA (AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","Forb/herb","","","","","","",""
"LESI","","Leonurus sibiricus","USA (AR, DE, FL, HI, IA, IL, KY, LA, MN, MO, MS, NE, OH, OK, PA, TX, VA, WV), USA+ (PR, VI), CAN (MB)","Dicot","Forb/herb","Photo","","","","","",""
"LEPAN2","","Lepanthopsis","USA (FL), USA+ (PR)","Monocot","","","","","","","",""
"LEME","","Lepanthopsis melanantha","USA (FL), USA+ (PR)","Monocot","Forb/herb","","","","","","",""
"LEPEC","","Lepechinia","USA (CA, HI)","Dicot","","","","","","","",""
"LECA3","","Lepechinia calycina","USA (CA)","Dicot","Subshrub, Shrub","Photo","","","","","",""
"LECA4","","Lepechinia cardiophylla","USA (CA)","Dicot","Subshrub, Shrub","","","","","","",""
"LEFR","","Lepechinia fragrans","USA (CA)","Dicot","Subshrub, Shrub","Photo","","","","","",""
"LEGA","","Lepechinia ganderi","USA (CA)","Dicot","Subshrub, Shrub","","","","","","",""
"LEHA","","Lepechinia hastata","USA (HI)","Dicot","Forb/herb","Photo","","","","","",""
"LERO8","","Lepechinia rossii","USA (CA)","Dicot","Shrub","","","","","","",""
"LEPIA","","Lepianthes","USA (FL), USA+ (PR, VI)","Dicot","","","","","","","",""
"LEPE4","","Lepianthes peltata","USA (FL), USA+ (PR, VI)","Dicot","Subshrub, Shrub, Forb/herb","","","","","","",""
"LEPID","","Lepidium","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Dicot","","","","","","","",""
"LEAF","","Lepidium africanum","USA (HI, SC)","Dicot","Forb/herb","","","","","","",""
"LEAL4","","Lepidium alyssoides","USA (AZ, CO, MI, NM, TX, UT, WY)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEALA3","","Lepidium alyssoides var. alyssoides","USA (AZ, CO, MI, NM, TX, UT, WY)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEALA4","","Lepidium alyssoides var. angustifolium","USA (NM, TX)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEALE","","Lepidium alyssoides var. eastwoodiae","USA (CO, MI, NM, UT)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEALJ","","Lepidium alyssoides var. junceum","USA (AZ, UT)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEAP6","","Lepidium apetalum","USA (NJ, NY)","Dicot","Forb/herb","","","","","","",""
"LEAR5","","Lepidium arbuscula","USA (HI)","Dicot","Subshrub, Shrub","","","","","","",""
"LEAU3","","Lepidium austrinum","USA (KS, LA, MS, NM, OK, SC, TX)","Dicot","Forb/herb","Photo","","","","","",""
"LEBA","","Lepidium barnebyanum","USA (UT)","Dicot","Forb/herb","","","","","","",""
"LEBI","","Lepidium bidentatum","USA (HI, UM)","Dicot","Subshrub, Shrub, Forb/herb","","","","","","",""
"LEBIO","","Lepidium bidentatum var. owaihiense","USA (HI, UM)","Dicot","Subshrub, Shrub, Forb/herb","","","","","","",""
"LEBO2","","Lepidium bonariense","USA (GA, HI, SC)","Dicot","Forb/herb","","","","","","",""
"LECA5","","Lepidium campestre","USA (AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Dicot","Forb/herb","Photo","","","","","",""
"LECR12","","Lepidium crenatum","USA (CO, NM, UT)","Dicot","Forb/herb, Subshrub","Photo","","","","","",""
"LEDA2","","Lepidium davisii","USA (ID, NV, OR)","Dicot","Forb/herb","Photo","","","","","",""
"LEDE","","Lepidium densiflorum","USA (AK, AL, AZ, CA, CO, CT, DE, FL, HI, IA, ID, KS, KY, LA, MA, MD, ME, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, VA, VT, WA, WI, WV)","Dicot","Forb/herb","Photo","","","","","",""
"LEDI2","","Lepidium dictyotum","USA (CA, ID, NV, OR, UT, WA)","Dicot","Forb/herb","","","","","","",""
"LEDIA","","Lepidium dictyotum var. acutidens","USA (CA, OR, WA)","Dicot","Forb/herb","","","","","","",""
"LEDID","","Lepidium dictyotum var. dictyotum","USA (CA, ID, NV, OR, UT, WA)","Dicot","Forb/herb","","","","","","",""
"LEFL2","","Lepidium flavum","USA (CA, NV)","Dicot","Forb/herb","Photo","","","","","",""
"LEFLF","","Lepidium flavum var. felipense","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LEFLF2","","Lepidium flavum var. flavum","USA (CA, NV)","Dicot","Forb/herb","Photo","","","","","",""
"LEFR2","","Lepidium fremontii","USA (AZ, CA, NV, UT)","Dicot","Subshrub, Shrub","Photo","","","","","",""
"LEFRF","","Lepidium fremontii var. fremontii","USA (AZ, CA, NV, UT)","Dicot","Shrub, Subshrub","","","","","","",""
"LEFRS","","Lepidium fremontii var. stipitatum","USA (CA)","Dicot","Shrub, Subshrub","","","","","","",""
"LEGR5","","Lepidium graminifolium","USA (MD, MI, NJ, OR, PA)","Dicot","Forb/herb","","","","","","",""
"LEHE2","","Lepidium heterophyllum","USA (CA, MA, NJ, NY, OR, PA, WA), CAN (BC)","Dicot","Forb/herb","","","","","","",""
"LEHI5","","Lepidium hirtum","USA (ME)","Dicot","Forb/herb","","","","","","",""
"LEHU8","","Lepidium huberi","USA (UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEHY2","","Lepidium hyssopifolium","USA (HI, MD)","Dicot","Forb/herb","","","","","","",""
"LEIN5","","Lepidium integrifolium","USA (AZ, CO, UT, WY)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEINH","","Lepidium integrifolium var. heterophyllum","USA (CO, UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEINI","","Lepidium integrifolium var. integrifolium","USA (AZ, UT, WY)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEJA","","Lepidium jaredii","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"LEJAA","","Lepidium jaredii ssp. album","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LEJAJ2","","Lepidium jaredii ssp. jaredii","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LELA","","Lepidium lasiocarpum","USA (AZ, CA, CO, LA, NM, NV, SC, TX, UT)","Dicot","Forb/herb","Photo","","","","","",""
"LELAL","","Lepidium lasiocarpum var. lasiocarpum","USA (AZ, CA, CO, LA, NM, NV, SC, TX, UT)","Dicot","Forb/herb","","","","","","",""
"LELAW","","Lepidium lasiocarpum var. wrightii","USA (AZ, LA, NM, TX)","Dicot","Forb/herb","","","","","","",""
"LELA2","","Lepidium latifolium","USA (AZ, CA, CO, CT, ID, IL, IN, KS, MA, MO, MT, NE, NM, NV, NY, OR, TX, UT, WA, WY), CAN (AB, BC, MB, QC)","Dicot","Forb/herb","Photo","","","","","",""
"LELA3","","Lepidium latipes","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LELAH2","","Lepidium latipes var. heckardii","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LELAL3","","Lepidium latipes var. latipes","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LEMO2","","Lepidium montanum","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)","Dicot","Subshrub, Forb/herb","Photo","Yes","Yellow","Green","Fine","Brown","Decumbent"
"LEMOA","","Lepidium montanum var. alpinum","USA (UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMOC","","Lepidium montanum var. canescens","USA (AZ, CA, NM, NV, OR, UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMOC4","","Lepidium montanum var. cinereum","USA (AZ, CA, NV, UT)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEMOC5","","Lepidium montanum var. claronense","USA (UT)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEMOC6","","Lepidium montanum var. coloradense","USA (CO)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEMOG","","Lepidium montanum var. glabrum","USA (AZ)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMOJ","","Lepidium montanum var. jonesii","USA (AZ, CO, ID, NM, NV, UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMOM","","Lepidium montanum var. montanum","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMON","","Lepidium montanum var. neeseae","USA (UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMON2","","Lepidium montanum var. nevadense","USA (NV, OR)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LEMOT","","Lepidium montanum var. tenellum","USA (CO)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEMOW","","Lepidium montanum var. wyomingense","USA (CO, WY)","Dicot","Forb/herb, Subshrub","","","","","","",""
"LENA2","","Lepidium nanum","USA (NV, UT)","Dicot","Forb/herb","Photo","","","","","",""
"LENI","","Lepidium nitidum","USA (CA, NV, NY, OR, WA)","Dicot","Forb/herb","Photo","","","","","",""
"LENIH","","Lepidium nitidum var. howellii","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LENIN","","Lepidium nitidum var. nitidum","USA (CA, NV, NY, OR, WA)","Dicot","Forb/herb","","","","","","",""
"LENIO","","Lepidium nitidum var. oreganum","USA (CA, OR)","Dicot","Forb/herb","","","","","","",""
"LEOB","","Lepidium oblongum","USA (AR, AZ, CA, HI, KS, LA, MS, NE, NM, OK, OR, SC, TX)","Dicot","Forb/herb","Photo","","","","","",""
"LEOBI","","Lepidium oblongum var. insulare","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"LEOBO","","Lepidium oblongum var. oblongum","USA (AR, AZ, CA, HI, KS, LA, MS, NE, NM, OK, OR, SC, TX)","Dicot","Forb/herb","","","","","","",""
"LEOR2","","Lepidium orbiculare","USA (HI)","Dicot","Shrub, Subshrub","","","","","","",""
"LEOS","","Lepidium ostleri","USA (UT)","Dicot","Forb/herb","","","","","","",""
"LEOX","","Lepidium oxycarpum","USA (CA, WA)","Dicot","Forb/herb","","","","","","",""
"LEPA17","","Lepidium papilliferum","USA (ID)","Dicot","Forb/herb","Photo","","","","","",""
"LEPA42","","Lepidium paysonii","USA (ID, WY)","Dicot","Forb/herb","","","","","","",""
"LEPE2","","Lepidium perfoliatum","USA (AK, AR, AZ, CA, CO, CT, GA, IA, ID, IL, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, ON, QC, SK)","Dicot","Forb/herb","Photo","","","","","",""
"LEPI","","Lepidium pinnatifidum","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LERA2","","Lepidium ramosissimum","USA (AK, AZ, CA, CO, ID, MI, MT, ND, NM, NV, NY, OH, OR, UT, WA, WI, WY), CAN (AB, BC, MB, NB, NF, NT, ON, QC, SK, YT)","Dicot","Forb/herb","","","","","","",""
"LERAB2","","Lepidium ramosissimum var. bourgeauanum","USA (AK, AZ, CA, CO, ID, MI, MT, NM, NV, NY, OH, OR, UT, WA, WI, WY), CAN (AB, BC, MB, NB, NF, NT, ON, QC, SK, YT)","Dicot","Forb/herb","","","","","","",""
"LERAD2","","Lepidium ramosissimum var. divergens","USA (CO)","Dicot","Forb/herb","","","","","","",""
"LERAR3","","Lepidium ramosissimum var. ramosissimum","USA (CO, ID, MT, ND, NM, WA, WY), CAN (AB, BC, MB, NT, ON, SK, YT)","Dicot","Forb/herb","","","","","","",""
"LERE10","","Lepidium remyi","USA (HI)","Dicot","Forb/herb, Shrub, Subshrub","","","","","","",""
"LERU","","Lepidium ruderale","USA (AK, AL, CA, CT, DE, FL, IL, KY, LA, MA, MD, ME, MI, NC, NH, NJ, NY, OH, OR, PA, RI, TN, TX, VA, WA, WI, WV), CAN (MB, NB, NF, NS, ON, QC, SK)","Dicot","Forb/herb","","","","","","",""
"LESA2","","Lepidium sativum","USA (CA, CO, CT, DE, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, OR, PA, RI, UT, VA, VT, WA, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Dicot","Forb/herb","Photo","","","","","",""
"LESC3","","Lepidium schinzii","USA (SC)","Dicot","Forb/herb","","","","","","",""
"LESE4","","Lepidium serra","USA (HI)","Dicot","Subshrub, Shrub","","","","","","",""
"LESO","","Lepidium sordidum","USA (TX)","Dicot","Forb/herb","","","","","","",""
"LEST2","","Lepidium strictum","USA (CA, CO, OR, UT)","Dicot","Forb/herb","","","","","","",""
"LETH2","","Lepidium thurberi","USA (AZ, CA, NM, TX)","Dicot","Forb/herb","","","","","","",""
"LEVI3","","Lepidium virginicum","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, NB, NF, NS, ON, PE, QC)","Dicot","Forb/herb","Photo","","","","","",""
"LEVIM","","Lepidium virginicum var. medium","USA (AR, AZ, CA, CO, FL, ID, LA, NM, OK, OR, TX, WA, WY)","Dicot","Forb/herb","","","","","","",""
"LEVIM2","","Lepidium virginicum var. menziesii","USA (WA), CAN (BC)","Dicot","Forb/herb","","","","","","",""
"LEVIP","","Lepidium virginicum var. pubescens","USA (AZ, CA, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY), CAN (BC)","Dicot","Forb/herb","","","","","","",""
"LEVIR","","Lepidium virginicum var. robinsonii","USA (CA)","Dicot","Forb/herb","","","","","","",""
"LEVIV2","","Lepidium virginicum var. virginicum","USA (AK, AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), USA+ (PR, VI), CAN (NB, NF, NS, ON, PE, QC)","Dicot","Forb/herb","","","","","","",""
"LEPID2","","Lepidospartum","USA (AZ, CA, NM, NV, TX, UT)","Dicot","","","","","","","",""
"LEBU2","","Lepidospartum burgessii","USA (NM, TX)","Dicot","Shrub","","","","","","",""
"LELA4","","Lepidospartum latisquamum","USA (CA, NV, UT)","Dicot","Shrub","","","","","","",""
"LESQ","","Lepidospartum squamatum","USA (AZ, CA)","Dicot","Tree, Shrub","","","","","","",""
"LEPIS","","Lepisorus","USA (HI)","Fern","","","","","","","",""
"LETH6","","Lepisorus thunbergianus","USA (HI)","Fern","Forb/herb","","","","","","",""
"LEPRA","","Lepraria","USA (CA)","Lichen","","Photo","","","","","",""
"LESA26","","Lepraria santamonicae","USA (CA)","Lichen","Lichenous","","","","","","",""
"LEPTA","","Leptarrhena","USA (AK, ID, MT, OR, WA), CAN (AB, BC, NT, YT)","Dicot","","","","","","","",""
"LEPY","","Leptarrhena pyrolifolia","USA (AK, ID, MT, OR, WA), CAN (AB, BC, NT, YT)","Dicot","Forb/herb","Photo","","","","","",""
"LEPTO","","Leptochloa","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, ON, QC)","Monocot","","","","","","","",""
"LECH","","Leptochloa chloridiformis","USA (TX)","Monocot","Graminoid","Photo","","","","","",""
"LEDE22","","Leptochloa decipiens","USA (MS, SC)","Monocot","Graminoid","","","","","","",""
"LEDEP2","","Leptochloa decipiens ssp. peacockii","USA (MS, SC)","Monocot","Graminoid","","","","","","",""
"LEDI28","","Leptochloa digitata","USA (SC)","Monocot","Graminoid","","","","","","",""
"LEDI29","","Leptochloa divaricatissima","USA (SC)","Monocot","Graminoid","","","","","","",""
"LEDU","","Leptochloa dubia","USA (AZ, CA, CO, FL, KS, MD, MO, MS, NC, NM, OK, SC, TX)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Coarse","Brown","Erect"
"LEFU21","","Leptochloa fusca","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, ON, QC)","Monocot","Graminoid","Photo","","","","","",""
"LEFUF","","Leptochloa fusca ssp. fascicularis","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, ON, QC)","Monocot","Graminoid","","Yes","Green","Green","Fine","Yellow","Erect"
"LEFUU","","Leptochloa fusca ssp. uninervia","USA (AL, AR, AZ, CA, CO, FL, GA, HI, IL, KS, LA, MA, ME, MO, MS, NC, NJ, NM, NV, OK, OR, SC, TN, TX, UT, VA), USA+ (PR)","Monocot","Graminoid","","","","","","",""
"LENE2","","Leptochloa nealleyi","USA (AZ, LA, TX), USA+ (PR)","Monocot","Graminoid","","","","","","",""
"LEPA6","","Leptochloa panicea","USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, KY, LA, MA, MO, MS, NC, NJ, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA), USA+ (PR, VI)","Monocot","Graminoid","","","","","","",""
"LEPAB","","Leptochloa panicea ssp. brachiata","USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KY, LA, MO, MS, NC, NJ, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA), USA+ (PR, VI)","Monocot","Graminoid","","","","","","",""
"LEPAM","","Leptochloa panicea ssp. mucronata","USA (AR, GA, IL, KS, KY, LA, MA, MO, MS, OK, TN, TX)","Monocot","Graminoid","","","","","","",""
"LEPA3","","Leptochloa panicoides","USA (AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, TN, TX, VA), USA+ (PR)","Monocot","Graminoid","","","","","","",""
"LESC","","Leptochloa scabra","USA (AL, LA), USA+ (PR)","Monocot","Graminoid","","","","","","",""
"LEVI4","","Leptochloa virgata","USA (FL, HI, SC, TX), USA+ (PR, VI)","Monocot","Graminoid","Photo","","","","","",""
"LEVI5","","Leptochloa viscida","USA (AZ, CA, NM, TX)","Monocot","Graminoid","","","","","","",""
"LEPTO2","","Leptodactylon","USA (CA)","Dicot","","Photo","","","","","",""
"LECA7","","Leptodactylon californicum","USA (CA)","Dicot","Subshrub, Forb/herb","Photo","","","","","",""
"LECAC2","","Leptodactylon californicum ssp. californicum","USA (CA)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LECAL","","Leptodactylon californicum ssp. leptotrichomum","USA (CA)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LECAT","","Leptodactylon californicum ssp. tomentosum","USA (CA)","Dicot","Subshrub, Forb/herb","","","","","","",""
"LEPTO16","","Leptodictyum","USA (NY)","Moss","","","","","","","",""
"LEHU7","","Leptodictyum humile","USA (NY)","Moss","Nonvascular","","","","","","",""
